,date,likes,reposts,views,comments,attachments,text
186384,1706468580,862,191,18575,10,1,"29 января, овен"
186381,1706464980,608,86,15281,5,1,"29 января, телец"
186376,1706461380,1553,384,27656,0,1,"29 января, близнецы"
186371,1706457780,293,92,12747,10,1,"29 января, рак"
186368,1706454180,313,58,8850,1,1,"29 января, лев"
186363,1706450580,2122,352,38437,6,1,"29 января, дева"
186361,1706446980,550,129,14131,6,1,"29 января, весы"
186358,1706443380,583,115,11410,0,1,"29 января, скорпион"
186356,1706439780,292,65,9964,2,1,"29 января, стрелец"
186355,1706436180,288,114,11079,2,1,"29 января, козерог"
186354,1706432580,200,55,7820,0,1,"29 января, водолей"
186349,1706428980,805,139,18940,0,1,"29 января, рыбы"
186337,1706382180,1659,276,26561,4,1,"28 января, овен"
186335,1706378580,282,68,10035,1,1,"28 января, телец"
186327,1706374980,321,95,11702,7,1,"28 января, близнецы"
186325,1706371380,254,74,8978,1,1,"28 января, рак"
186321,1706367780,925,136,20592,8,1,"28 января, лев"
186317,1706364180,393,66,11269,1,1,"28 января, дева"
186313,1706360580,345,60,8361,4,1,"28 января, весы"
186308,1706356980,1945,321,33659,8,1,"28 января, скорпион"
186302,1706353380,935,116,16495,6,1,"28 января, стрелец"
186300,1706349780,205,61,6882,0,1,"28 января, козерог"
186298,1706346180,219,53,7833,5,1,"28 января, водолей"
186296,1706342580,394,89,10411,6,1,"28 января, рыбы"
186284,1706302800,381,48,12536,5,1,"27 января, овен"
186281,1706299200,457,116,12716,2,1,"27 января, телец"
186280,1706295600,282,53,7413,1,1,"27 января, близнецы"
186278,1706292000,1581,289,30762,7,1,"27 января, рак"
186272,1706288401,260,63,8235,1,1,"27 января, лев"
186266,1706284801,701,106,15894,4,1,"27 января, дева"
186262,1706281202,198,39,6727,6,1,"27 января, весы"
186256,1706277601,369,78,9576,3,1,"27 января, скорпион"
186251,1706274001,235,45,8532,0,1,"27 января, стрелец"
186250,1706270402,279,62,7956,0,1,"27 января, козерог"
186248,1706266802,312,59,10342,1,1,"27 января, водолей"
186199,1706265313,1694,177,35345,8,1,"27 января, рыбы"
186182,1706209380,1914,269,36227,5,1,"26 января, овен"
186179,1706205780,464,89,10562,2,1,"26 января, телец"
186178,1706202180,367,74,9709,0,1,"26 января, близнецы"
186177,1706198580,629,120,13585,2,1,"26 января, рак"
186175,1706194980,193,62,6874,0,1,"26 января, лев"
186161,1706191380,201,64,9648,2,1,"26 января, дева"
186159,1706187780,240,52,7792,2,1,"26 января, весы"
186158,1706184180,313,66,8520,3,1,"26 января, скорпион"
186157,1706180580,375,87,11025,4,1,"26 января, стрелец"
186153,1706176980,299,76,8813,3,1,"26 января, козерог"
186150,1706173380,366,100,11442,1,1,"26 января, водолей"
186148,1706169780,230,42,7194,3,1,"26 января, рыбы"
186130,1706122980,2084,179,33279,5,1,"24 января, овен"
186127,1706119380,319,60,9294,1,1,"24 января, телец"
186126,1706115780,391,91,8510,1,1,"24 января, близнецы"
186123,1706112180,314,56,9330,2,1,"24 января, рак"
186120,1706108580,194,34,9410,2,1,"24 января, лев"
186117,1706104980,206,37,10010,2,1,"24 января, дева"
186116,1706101380,171,36,6153,0,1,"24 января, весы"
186114,1706097780,126,34,5897,0,1,"24 января, скорпион"
186113,1706094180,298,67,10569,0,1,"24 января, стрелец"
186111,1706090580,277,52,9752,0,1,"24 января, козерог"
186109,1706086980,1236,184,23733,5,1,"24 января, водолей"
186107,1706083380,257,73,10009,1,1,"24 января, рыбы"
186082,1706036580,487,74,17195,0,1,"23 января, овен"
186077,1706032980,832,103,17213,5,1,"23 января, телец"
186073,1706029380,433,109,11514,1,1,"23 января, близнецы"
186069,1706025780,423,111,13113,0,1,"23 января, рак"
186066,1706022180,300,78,8214,1,1,"23 января, лев"
186059,1706018580,257,115,11468,4,1,"23 января, дева"
186057,1706014980,258,78,10150,0,1,"23 января, весы"
186045,1706011380,1879,379,33230,13,1,"23 января, скорпион"
186043,1706007780,312,38,9181,4,1,"23 января, стрелец"
186032,1706004180,1208,234,22210,2,1,"23 января, козерог"
186030,1706000580,238,74,8060,3,1,"23 января, водолей"
186027,1705996980,442,79,12178,3,1,"23 января, рыбы"
185983,1705946580,1012,128,26394,13,1,"22 января, овен"
185979,1705942980,364,72,13140,3,1,"22 января, телец"
185978,1705939380,948,124,17630,7,1,"22 января, близнецы"
185975,1705935780,277,59,9293,7,1,"22 января, рак"
185974,1705932180,464,82,11791,3,1,"22 января, лев"
185969,1705928580,514,129,12677,3,1,"22 января, дева"
185965,1705924980,767,105,15825,5,1,"22 января, весы"
185963,1705921380,292,152,12223,2,1,"22 января, скорпион"
185959,1705917780,300,102,8154,1,1,"22 января, стрелец"
185955,1705914180,294,68,9647,1,1,"22 января, козерог"
185946,1705910580,366,102,13820,4,1,"22 января, водолей"
185936,1705906980,1590,240,33652,14,1,"22 января, рыбы"
185915,1705860180,1417,246,27345,10,1,"21 января, овен"
185913,1705856580,2262,380,51892,9,1,"21 января, телец"
185898,1705852980,95,50,13957,15,0,"21 января, близнецы"
185892,1705849380,647,196,20921,8,1,"21 января, рак"
185884,1705845780,315,63,10168,4,1,"21 января, лев"
185876,1705842180,501,78,12776,4,1,"21 января, дева"
185873,1705838580,385,117,9699,5,1,"21 января, весы"
185870,1705834980,281,45,10602,3,1,"21 января, скорпион"
185862,1705831380,381,47,10664,4,1,"21 января, стрелец"
185856,1705827780,2282,343,44744,20,1,"21 января, козерог"
185851,1705824180,336,115,11883,4,1,"21 января, водолей"
185843,1705820580,1093,142,23663,13,1,"21 января, рыбы"
185826,1705773780,1705,295,30217,6,1,"20 января, овен"
185820,1705770180,536,108,13018,6,1,"20 января, телец"
185811,1705766580,339,111,12220,2,1,"20 января, близнецы"
185808,1705762980,428,126,12875,5,1,"20 января, рак"
185804,1705759380,433,135,13834,3,1,"20 января, лев"
185796,1705755780,514,107,13639,6,1,"20 января, дева"
185787,1705752180,815,184,19502,8,1,"20 января, весы"
185771,1705748580,98,39,13219,14,0,"20 января, скорпион"
185769,1705744980,703,163,16979,6,1,"20 января, стрелец"
185761,1705741380,405,89,11108,3,1,"20 января, козерог"
185752,1705737780,666,138,16641,1,1,"20 января, водолей"
185748,1705734180,248,40,11583,10,1,"20 января, рыбы"
185715,1705690980,2244,256,44572,15,1,"19 января, овен"
185712,1705687380,394,93,14892,12,1,"19 января, телец"
185709,1705683780,635,99,16506,2,1,"19 января, близнецы"
185705,1705680180,481,100,13216,3,1,"19 января, рак"
185701,1705676580,310,79,13110,2,1,"19 января, лев"
185698,1705672980,530,113,11015,7,1,"19 января, дева"
185694,1705669380,596,132,16682,7,1,"19 января, весы"
185688,1705665780,1045,355,24797,3,1,"19 января, скорпион"
185684,1705662180,1065,153,20996,2,1,"19 января, стрелец"
185681,1705658580,557,123,13667,2,1,"19 января, козерог"
185677,1705654980,390,91,12793,6,1,"19 января, водолей"
185627,1705651962,552,127,13168,1,1,"19 января, рыбы"
185593,1705518180,1507,226,25528,6,1,"18 января, овен"
185586,1705514580,11438,1245,173801,18,1,"18 января, телец"
185583,1705511760,901,233,19209,2,1,"18 января, близнецы"
185581,1705508160,611,148,15665,2,1,"18 января, рак"
185578,1705504560,598,134,16078,1,1,"18 января, лев"
185576,1705501440,1333,400,22498,0,1,"18 января, дева"
185573,1705498380,845,208,25612,3,1,"18 января, весы"
185562,1705492980,465,121,13092,5,1,"18 января, скорпион"
185559,1705489380,592,147,14871,2,1,"18 января, стрелец"
185557,1705485780,636,108,17041,11,1,"18 января, козерог"
185544,1705482180,295,72,10626,6,1,"18 января, водолей"
185541,1705478580,1576,506,32483,14,1,"18 января, рыбы"
185497,1705431780,1361,269,28650,10,1,"17 января, овен"
185492,1705428180,856,154,22899,3,1,"17 января, телец"
185484,1705424580,327,88,10866,4,1,"17 января, близнецы"
185473,1705420980,408,132,15077,8,1,"17 января, рак"
185467,1705417380,613,185,14620,9,1,"17 января, лев"
185462,1705413780,1232,160,21431,10,1,"17 января, дева"
185452,1705406580,1006,285,21926,6,1,"17 января, скорпион"
185446,1705402980,458,119,12350,6,1,"17 января, стрелец"
185440,1705399380,475,159,16216,6,1,"17 января, козерог"
185434,1705395780,370,64,11890,3,1,"17 января, водолей"
185433,1705392180,284,86,10181,2,1,"17 января, рыбы"
185379,1705341780,2964,479,48743,6,1,"16 января, овен"
185375,1705338180,504,96,12468,4,1,"16 января, телец"
185364,1705334580,4607,737,63037,20,1,"16 января, близнецы"
185360,1705330980,452,102,15303,3,1,"16 января, рак"
185359,1705327380,332,92,10801,1,1,"16 января, лев"
185357,1705323780,380,103,10813,1,1,"16 января, дева"
185355,1705320180,480,48,12312,4,1,"16 января, весы"
185352,1705316580,571,136,12430,4,1,"16 января, скорпион"
185347,1705312980,2151,198,32716,7,1,"16 января, стрелец"
185343,1705309380,271,108,13093,3,1,"16 января, козерог"
185342,1705305780,455,96,15789,2,1,"16 января, водолей"
185328,1705302180,258,63,9529,0,1,"16 января, рыбы"
185310,1705258980,3010,369,46716,5,1,"15 января, овен"
185307,1705255380,1364,290,34635,6,1,"15 января, телец"
185306,1705251780,1780,241,51341,5,1,"15 января, близнецы"
185302,1705248180,609,149,13317,4,1,"15 января, рак"
185298,1705244580,415,102,10260,1,1,"15 января, лев"
185294,1705240980,492,96,12008,2,1,"15 января, дева"
185286,1705237380,393,59,9943,5,1,"15 января, весы"
185279,1705233780,1502,171,24820,7,1,"15 января, скорпион"
185274,1705230180,264,43,10159,1,1,"15 января, стрелец"
185262,1705226580,515,97,11155,3,1,"15 января, козерог"
185260,1705222980,286,68,10751,3,1,"15 января, водолей"
185256,1705219380,311,110,9100,3,1,"15 января, рыбы"
185216,1705168980,994,90,23464,13,1,"14 января, овен"
185214,1705165380,1579,247,29709,5,1,"14 января, телец"
185208,1705161780,421,123,12248,1,1,"14 января, близнецы"
185198,1705158180,1799,216,29516,5,1,"14 января, рак"
185195,1705154580,426,97,11472,2,1,"14 января, лев"
185188,1705150980,301,61,9183,3,1,"14 января, дева"
185183,1705147380,161,48,7474,5,1,"14 января, весы"
185175,1705143780,375,52,9124,7,1,"14 января, скорпион"
185171,1705140180,579,89,13407,6,1,"14 января, стрелец"
185168,1705136580,397,61,10329,3,1,"14 января, козерог"
185164,1705132980,309,147,9423,1,1,"14 января, водолей"
185161,1705129380,510,100,13391,8,1,"14 января, рыбы"
185138,1705082580,314,42,9768,4,1,"13 января, овен"
185132,1705078980,10943,719,192558,69,1,"13 января, телец"
185083,1705075380,415,59,12494,6,1,"13 января, близнецы"
185078,1705071780,78,70,8984,1,1,"13 января 
 
Раки пережив эту неделю до выходных:"
185075,1705068180,421,88,11205,4,1,"13 января, лев"
185070,1705064580,930,176,19342,6,1,"13 января, дева"
185068,1705060980,326,100,11895,3,1,"13 января, весы"
185067,1705057380,258,65,8511,2,1,"13 января, скорпион"
185062,1705053780,415,83,12198,4,1,"13 января, стрелец"
185053,1705050180,323,62,10363,6,1,"13 января, козерог"
185051,1705046580,949,213,22431,7,1,"13 января, водолей"
185047,1705042980,641,189,15398,4,1,"13 января, рыбы"
185023,1704996180,1521,210,26161,8,1,"12 января, овен"
185020,1704992580,421,74,10489,1,1,"12 января, телец"
185019,1704988980,1171,268,25420,8,1,"12 января, близнецы"
185017,1704985380,356,94,11680,0,1,"12 января, рак"
185015,1704981780,414,97,10782,0,1,"12 января, лев"
185009,1704978180,276,77,8886,2,1,"12 января, дева"
185007,1704974580,403,91,10191,1,1,"12 января, весы"
185004,1704970980,416,78,16986,1,1,"12 января, скорпион"
184995,1704967380,497,109,13331,2,1,"12 января, стрелец"
184993,1704963780,446,112,9515,0,1,"12 января, козерог"
184991,1704960180,485,111,11206,3,1,"12 января, водолей"
184987,1704956580,1725,199,34674,4,1,"12 января, рыбы"
184965,1704909780,1730,252,30714,10,1,"11 января, овен"
184961,1704906180,344,74,8952,2,1,"11 января, телец"
184956,1704902580,590,153,11952,2,1,"11 января, близнецы"
184951,1704898980,247,44,8589,7,1,"11 января, рак"
184949,1704895380,1437,171,21116,5,1,"11 января, лев"
184933,1704891780,261,72,11675,1,1,"11 января, дева"
184932,1704888180,240,42,10310,1,1,"11 января, весы"
184928,1704884580,1605,374,31015,5,1,"11 января, скорпион"
184925,1704880980,516,122,12704,3,1,"11 января, стрелец"
184919,1704877380,675,139,16844,4,1,"11 января, козерог"
184916,1704873780,432,86,11130,2,1,"11 января, водолей"
184914,1704870180,350,105,7729,2,1,"11 января, рыбы"
184902,1704826980,183,107,16336,2,1,"10 Января:

Овны после 5 часов работы смотрят на часы и понимают, что прошло только 15 минут"
184901,1704823380,372,76,9258,0,1,"10 января, телец"
184898,1704819780,734,125,13468,1,1,"10 января, близнецы"
184890,1704816180,598,117,16537,6,1,"10 января, рак"
184874,1704812580,419,75,11874,5,1,"10 января, лев"
184863,1704808980,928,147,16987,7,1,"10 января, дева"
184859,1704805380,892,194,17207,7,1,"10 января, весы"
184855,1704801780,399,89,11215,2,1,"10 января, скорпион"
184851,1704798180,377,70,9386,1,1,"10 января, стрелец"
184845,1704794580,660,103,12750,10,1,"10 января, козерог"
184842,1704790980,313,55,12341,0,1,"10 января, водолей"
184839,1704787380,520,110,11607,5,1,"10 января, рыбы"
184807,1704740580,789,135,24551,7,1,"9 января, овен"
184791,1704736980,357,95,16496,7,1,"9 января, телец"
184784,1704733380,1106,126,21969,7,1,"9 января, близнецы"
184779,1704729780,1417,222,33099,7,1,"9 января, рак"
184777,1704726180,642,160,16362,2,1,"9 января, лев"
184774,1704722580,311,79,15165,2,1,"9 января, дева"
184771,1704718980,1357,254,31619,8,1,"9 января, весы"
184767,1704715380,486,198,15485,6,1,"9 января, скорпион"
184763,1704711780,298,81,10141,2,1,"9 января, стрелец"
184761,1704708180,666,103,13831,4,1,"9 января, козерог"
184759,1704704580,223,105,12032,1,1,"9 января, водолей"
184757,1704700980,805,214,24980,3,1,"9 января, рыбы"
184749,1704654180,360,76,11623,1,1,"8 января, овен"
184743,1704650580,637,95,12954,1,1,"8 января, телец"
184742,1704646980,215,55,11402,0,1,"8 января, близнецы"
184738,1704643380,319,94,10523,3,1,"8 января, рак"
184735,1704639780,495,77,16892,2,1,"8 января, лев"
184733,1704636180,485,85,10671,1,1,"8 января, дева"
184731,1704632580,225,34,10089,1,1,"8 января, весы"
184729,1704628980,921,211,16839,2,1,"8 января, скорпион"
184718,1704625380,342,63,9619,3,1,"8 января, стрелец"
184714,1704621780,1417,355,39246,13,1,"8 января, козерог"
184712,1704618180,391,102,12092,2,1,"8 января, водолей"
184709,1704614580,378,44,13583,4,1,"8 января, рыбы"
184674,1704570900,9,5,15252,0,7,"Дарим 90 дней Кинопоиска по подписке Плюс!
Ваш промокод: 2YMYFUP4FU
Активируйте промокод по ссылке: clck.ru/37P4Fo
18+"
184667,1704567780,468,62,12543,25,1,"7 января, овен"
184665,1704564180,1152,157,20960,2,1,"7 января, телец"
184657,1704560580,586,121,15402,11,1,"7 января, близнецы"
184655,1704556980,520,58,12542,12,1,"7 января, рак"
184645,1704553380,353,55,12262,3,1,"7 января, лев"
184641,1704549780,303,83,12799,4,1,"7 января, дева"
184637,1704546180,249,59,10160,7,1,"7 января, весы"
184630,1704542580,781,140,20120,6,1,"7 января, скорпион"
184627,1704538980,235,131,10010,4,1,"7 января, стрелец"
184623,1704535380,263,43,9221,2,1,"7 января, козерог"
184621,1704531780,276,60,10057,2,1,"7 января, водолей"
184618,1704528180,685,129,19714,4,1,"7 января, рыбы"
184599,1704477780,536,108,16880,5,1,"6 января, овен"
184597,1704474180,1883,241,35347,9,1,"6 января, телец"
184595,1704470580,311,130,10684,2,1,"6 января, близнецы"
184592,1704466980,835,152,19014,4,1,"6 января, рак"
184589,1704463380,401,97,9885,1,1,"6 января, лев"
184586,1704459780,434,62,11882,0,1,"6 января, дева"
184580,1704456180,477,86,12852,5,1,"6 января, весы"
184567,1704452580,1992,300,37208,5,1,"6 января, скорпион"
184566,1704448980,180,30,8140,0,1,"6 января, стрелец"
184562,1704445380,613,120,13808,2,1,"6 января, козерог"
184557,1704441780,600,69,13672,2,1,"6 января, водолей"
184552,1704438180,255,38,10926,4,1,"6 января, рыбы"
184530,1704398580,3977,379,63411,9,1,"5 января, овен"
184520,1704394980,1876,181,42266,17,1,"5 января, телец"
184511,1704391380,638,85,15604,3,1,"5 января, близнецы"
184503,1704387780,871,117,16666,4,1,"5 января, рак"
184445,1704384180,427,119,9817,5,1,"5 января, лев"
184440,1704376800,2,4,8831,0,7,"Дарим 90 дней Кинопоиска по подписке Плюс!
Ваш промокод: 2YMYFUP4FU
Активируйте промокод по ссылке: clck.ru/37P4Fo
18+"
184438,1704376200,1455,229,30273,9,1,"5 января, дева"
184432,1704373380,435,72,11776,9,1,"5 января, весы"
184428,1704369780,1439,251,25257,4,1,"5 января, скорпион"
184426,1704366180,553,83,14983,3,1,"5 января, стрелец"
184412,1704362580,570,145,15964,3,1,"5 января, козерог"
184411,1704358980,2359,540,57771,6,1,"5 января, водолей"
184409,1704355380,329,81,9440,2,1,"5 января, рыбы"
184384,1704304980,351,44,11886,3,1,"4 января, овен"
184380,1704301380,313,56,16078,2,1,"4 января, телец"
184378,1704297780,303,68,13996,1,1,"4 января, близнецы"
184367,1704294180,2891,342,46115,5,1,"4 января, рак"
184362,1704290580,334,62,10225,4,1,"4 января, лев"
184359,1704286980,2060,258,33594,11,1,"4 января, дева"
184354,1704283380,584,66,13321,3,1,"4 января, весы"
184350,1704279780,370,51,11522,6,1,"4 января, скорпион"
184348,1704276180,1825,251,38171,6,1,"4 января, стрелец"
184345,1704272580,701,97,17891,2,1,"4 января, козерог"
184344,1704268980,334,70,12921,0,1,"4 января, водолей"
184343,1704265380,506,73,11933,5,1,"4 января, рыбы"
184320,1704224345,1363,189,102453,12,1,Что сейчас объединяет все знаки зодиака.
184317,1704222180,1812,414,36660,0,1,"3 января, овен"
184314,1704218580,549,84,19302,3,1,"3 января, телец"
184308,1704214980,735,106,24831,3,1,"3 января, близнецы"
184302,1704211380,616,146,13935,4,1,"3 января, рак"
184297,1704207780,763,127,16567,4,1,"3 января, лев"
184292,1704204180,1394,218,25666,7,1,"3 января, дева"
184288,1704200580,624,128,15324,0,1,"3 января, весы"
184283,1704196980,1116,116,27827,6,1,"3 января, скорпион"
184281,1704193380,510,86,11711,1,1,"3 января, стрелец"
184278,1704189780,1090,148,20445,3,1,"3 января, козерог"
184273,1704186180,351,190,12886,3,1,"3 января, водолей"
184271,1704182580,306,53,12179,4,1,"3 января, рыбы"
184235,1704132180,3656,599,73159,2,1,"2 января, овен"
184227,1704128580,3481,407,43217,26,1,"2 января, телец"
184221,1704124980,496,64,12927,0,1,"2 января, близнецы"
184217,1704121380,404,83,14039,4,1,"2 января, рак"
184214,1704117780,1038,111,21470,2,1,"2 января, лев"
184211,1704114180,504,112,15654,2,1,"2 января, дева"
184205,1704110580,1219,127,29798,6,1,"2 января, весы"
184199,1704106980,513,111,19544,6,1,"2 января, скорпион"
184193,1704103380,609,116,16713,7,1,"2 января, стрелец"
184190,1704099780,7295,836,155898,31,1,"2 января, козерог"
184187,1704096180,999,200,28301,1,1,"2 января, водолей"
184186,1704092580,545,113,14329,1,1,"2 января, рыбы"
184179,1704056404,269,2,19134,1,0,Всех с новым годом!!!
184175,1704049380,298,121,13523,5,1,"1 января, овен"
184168,1704045780,596,131,15636,2,1,"1 января, близнецы"
184166,1704042180,814,95,19558,2,1,"1 января, телец"
184162,1704038580,1272,164,22866,5,1,"1 января, рак"
184158,1704034980,554,143,18355,0,1,"1 января, лев"
184150,1704031380,280,66,13027,5,1,"1 января, дева"
184143,1704027780,644,171,14654,5,1,"1 января, весы"
184138,1704024180,515,186,16025,1,1,"1 января, скорпион"
184132,1704020580,2156,345,34464,11,1,"1 января, стрелец"
184101,1704016980,4993,388,76701,19,1,"1 января, козерог"
184088,1704013380,446,91,13986,2,1,"1 января, водолей"
184085,1704009780,473,105,13354,3,1,"1 января, рыбы"
184055,1703959380,1812,457,37039,11,1,"31 декабря, овен"
184053,1703955780,192,22,9807,5,1,"31 декабря, телец"
184046,1703952180,2533,616,41595,5,1,"31 декабря, близнецы"
184044,1703948580,821,94,19527,6,1,"31 декабря, рак"
184042,1703944980,505,115,12021,4,1,"31 декабря, лев"
184038,1703941380,473,111,12006,2,1,"31 декабря, дева"
184026,1703937780,235,31,8543,1,1,"31 декабря, весы"
184025,1703934180,426,72,13676,0,1,"31 декабря, скорпион"
184024,1703930580,580,98,14669,4,1,"31 декабря, стрелец"
184022,1703926980,1615,275,27500,0,1,"31 декабря, козерог"
184019,1703923380,919,115,25361,1,1,"31 декабря, водолей"
184017,1703919780,227,76,8397,0,1,"31 декабря, рыбы"
183992,1703872980,610,89,14294,2,1,"30 декабря, овен"
183987,1703869380,553,107,18210,20,1,"30 декабря, телец"
183985,1703865780,435,116,15310,0,1,"30 декабря, близнецы"
183984,1703862180,248,146,11760,1,1,"30 декабря, рак"
183983,1703858580,325,47,19306,2,1,"30 декабря, лев"
183979,1703854980,668,132,13410,0,1,"30 декабря, дева"
183974,1703851380,676,111,17591,2,1,"30 декабря, весы"
183970,1703847780,1182,222,26660,17,1,"30 декабря, скорпион"
183969,1703844180,344,73,10173,1,1,"30 декабря, стрелец"
183965,1703840580,439,98,14531,3,1,"30 декабря, козерог"
183963,1703836980,299,79,8891,0,1,"30 декабря, водолей"
183955,1703833380,212,64,9150,3,1,"30 декабря, рыбы"
183901,1703790180,456,118,14780,4,1,"29 декабря, овен"
183861,1703786580,389,53,10874,3,1,"29 декабря, телец"
183844,1703782980,369,44,11426,8,1,"29 декабря, близнецы"
183836,1703775780,422,96,11049,6,1,"29 декабря, рак"
183817,1703768580,3723,458,69914,54,1,"29 декабря, лев"
183812,1703761380,1764,149,30381,6,1,"29 декабря, дева"
183805,1703754180,295,72,13225,3,1,"29 декабря, весы"
183799,1703746980,1391,288,25893,1,1,"29 декабря, скорпион"
183794,1703739780,592,127,13666,2,1,"29 декабря, стрелец"
183787,1703732580,666,142,19331,6,1,"29 декабря, козерог"
183778,1703725380,545,108,14408,2,1,"29 декабря, водолей"
183775,1703718180,467,145,14695,2,1,"29 декабря, рыбы"
183759,1703703660,739,162,14423,8,1,"28 декабря, телец"
183731,1703700180,1284,278,22419,11,1,"28 декабря, овен"
183723,1703696580,552,121,16284,3,1,"28 декабря, близнецы"
183716,1703692980,485,131,16427,2,1,"28 декабря, рак"
183709,1703689380,566,100,12746,2,1,"28 декабря, лев"
183706,1703685780,548,76,15373,3,1,"28 декабря, дева"
183702,1703682180,2579,485,44195,19,1,"28 декабря, весы"
183696,1703680827,399,34,18540,7,1,Что сейчас объединяет все знаки зодиака.
183694,1703678580,1538,384,29896,6,1,"28 декабря, скорпион"
183693,1703674980,396,85,12125,4,1,"28 декабря, стрелец"
183688,1703671380,557,106,15016,4,1,"28 декабря, козерог"
183685,1703667780,446,118,10172,2,1,"28 декабря, водолей"
183676,1703664817,390,98,10870,1,1,"28 декабря, рыбы"
183648,1703620980,1561,191,23753,9,1,"27 декабря, овен"
183643,1703617380,1089,143,20598,17,1,"27 декабря, телец"
183627,1703613780,465,70,11478,4,1,"27 декабря, близнецы"
183622,1703611360,307,119,15226,4,1,"27 декабря, рак"
183613,1703602980,2545,554,41403,9,1,"27 декабря, лев"
183608,1703599380,438,75,9206,1,1,"27 декабря, дева"
183605,1703595780,402,71,11802,4,1,"27 декабря, весы"
183600,1703592180,934,183,20265,4,1,"27 декабря, скорпион"
183597,1703588580,366,88,10809,2,1,"27 декабря, стрелец"
183594,1703584980,383,102,9539,1,1,"27 декабря, козерог"
183589,1703581380,373,122,12913,2,1,"27 декабря, водолей"
183577,1703578267,1359,276,26199,14,1,"27 декабря, рыбы"
183551,1703530980,882,95,23973,3,1,"27 декабря, овен"
183548,1703527380,517,173,18635,2,1,"27 декабря, телец"
183541,1703525683,781,234,20206,3,1,"27 декабря, близнецы"
183534,1703520180,910,144,20229,15,1,"27 декабря, рак"
183531,1703516580,213,63,10166,0,1,"27 декабря, лев"
183515,1703512980,257,105,12528,7,1,"27 декабря, дева"
183495,1703509380,685,163,16697,6,1,"27 декабря, весы"
183487,1703505780,533,101,14904,9,1,"27 декабря, скорпион"
183484,1703502180,303,98,12997,2,1,"27 декабря, стрелец"
183475,1703498580,758,169,16798,2,1,"27 декабря, козерог"
183468,1703494980,3318,527,51251,6,1,"26 декабря, водолей"
183442,1703491380,609,155,15083,2,1,"26 декабря, рыбы"
183376,1703433720,1681,314,30522,38,1,"26 декабря, овен"
183369,1703426520,1140,264,20544,2,1,"26 декабря, телец"
183365,1703422920,1131,271,30430,4,1,"26 декабря, близнецы"
183360,1703419321,1741,365,30279,5,1,"26 декабря, рак"
183351,1703415720,1535,302,26013,5,1,"26 декабря, лев"
183341,1703412120,784,172,20514,1,1,"26 декабря, дева"
183330,1703408520,502,104,14110,5,1,"26 декабря, весы"
183325,1703404920,510,118,16171,1,1,"25 декабря, скорпион"
183311,1703401320,448,101,12911,2,1,"25 декабря, стрелец"
183305,1703390520,487,79,15376,5,1,"25 декабря, козерог"
183297,1703365320,936,107,17981,1,1,"25 декабря, водолей"
183281,1703360700,1882,294,31234,9,1,"25 декабря, рыбы"
183269,1703356200,18,19,12654,0,9,"Коллекция «Карты» от Sonrisa jewel – это более 35 невероятно красивых и значимых изображений, среди которых наверняка окажется то, которое нужно вам!

Создадим ваше неповторимое украшение из серебра, серебра с позолотой или золота любого оттенка и учтем все пожелания – все ювелирные карты мы делаем вручную.

Назовите промокод «magic» и получите скидку 5% на любое понравившееся вам изделие!

Пишите ""начать"" в сообщения нашего сообщества и мы ответим на все ваши вопросы, а также поможем с выбором украшения: https://clck.ru/35mW9B"
183265,1703354580,305,63,11444,5,1,"24 декабря, овен"
183262,1703350980,445,58,12296,3,1,"24 декабря, телец"
183258,1703347380,2575,256,41612,2,1,"24 декабря, близнецы"
183254,1703343780,286,72,11845,1,1,"24 декабря, рак"
183246,1703340180,231,49,8884,2,1,"24 декабря, лев"
183241,1703336582,547,125,11330,0,1,"24 декабря, дева"
183237,1703332980,316,58,10057,7,1,"24 декабря, весы"
183232,1703329380,326,51,10253,0,1,"24 декабря, скорпион"
183223,1703325780,307,65,12303,2,1,"24 декабря, стрелец"
183217,1703322180,564,117,11884,11,1,"24 декабря, козерог"
183212,1703318580,408,66,10346,4,1,"24 декабря, водолей"
183210,1703314981,1262,169,23947,0,1,"24 декабря, рыбы"
183171,1703271780,2765,309,46834,26,1,"24 декабря, овен"
183166,1703268180,869,161,18754,4,1,"24 декабря, телец"
183164,1703264580,519,90,12400,0,1,"24 декабря, близнецы"
183158,1703260980,426,97,13905,2,1,"24 декабря, рак"
183147,1703257380,337,84,10855,0,1,"24 декабря, лев"
183131,1703253780,426,69,11710,3,1,"24 декабря, дева"
183124,1703250180,859,171,17112,4,1,"24 декабря, весы"
183109,1703246580,373,80,11131,3,1,"24 декабря, скорпион"
183099,1703242980,245,49,9409,2,1,"24 декабря, стрелец"
183096,1703239380,511,94,16408,3,1,"24 декабря, козерог"
183088,1703237506,867,310,25035,4,1,"24 декабря, водолей"
183077,1703232180,992,144,22405,6,1,"23 декабря, рыбы"
183025,1703185380,937,174,25222,5,1,"23 декабря, овен"
183022,1703181780,638,174,18170,5,1,"23 декабря, телец"
183017,1703178180,493,139,15451,4,1,"23 декабря, близнецы"
183007,1703174580,1639,239,27427,4,1,"23 декабря, рак"
183000,1703170980,597,227,15644,1,1,"23 декабря, лев"
182984,1703167380,563,115,15176,3,1,"23 декабря, дева"
182970,1703163780,586,102,18513,5,1,"23 декабря, весы"
182957,1703160180,651,203,13896,5,1,"23 декабря, скорпион"
182944,1703156580,394,72,11253,4,1,"23 декабря, стрелец"
